I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 3  37.083888889   -8.946388889      500    11390   130     -3.000  SGR ENRT LP SAGRES VOR/DME
12  37.083880556   -8.946386111      500    11390   130      0.000  SGR ENRT LP SAGRES VOR/DME
 3  52.721011111   -8.885213889      200    11330   130     -5.000  SHA ENRT EI SHANNON VOR/DME
12  52.721011111   -8.885213889      200    11330   130      0.000  SHA ENRT EI SHANNON VOR/DME
 3  35.218619444   26.106755556      319    11290    40      4.000  SHT ENRT LG SITIA VOR/DME
12  35.218619444   26.106755556      319    11290    40      0.000  SHT ENRT LG SITIA VOR/DME
 3  41.151694444   -3.604666667     5709    11540   130     -1.000  SIE ENRT LE SOMOSIERRA VOR/DME
12  41.151666667   -3.604861111     5709    11540   130      0.000  SIE ENRT LE SOMOSIERRA VOR/DME
 3  43.252825000   11.252702778      636    11020    40      1.000  SIE ENRT LI SIENA VOR/DME
12  43.252825000   11.252702778      636    11020    40      0.000  SIE ENRT LI SIENA VOR/DME
 3  60.015061111    9.630055556     2410    11770   130      3.000  SIG ENRT EN SIGDAL VOR/DME
12  60.015061111    9.630055556     2410    11770   130      0.000  SIG ENRT EN SIGDAL VOR/DME
 3  37.395861111   14.970972222      120    11160   130      2.000  SIG ENRT LI SIGONELLA (CATANIA) TACAN
12  37.395861111   14.970972222      120    11160   130      0.000  SIG ENRT LI SIGONELLA (CATANIA) TACAN DME
 3  41.980833333   22.365555556     3891    11145   130      4.000  SIN ENRT LW SINKO VOR/DME
12  41.980833333   22.365555556     3891    11145   130      0.000  SIN ENRT LW SINKO VOR/DME
 3  46.215500000    7.288777778     1594    11215   130      1.000  SIO ENRT LS SION VOR/DME
12  46.215500000    7.288777778     1594    11215   130      0.000  SIO ENRT LS SION VOR/DME
 3  35.068422222   26.189063889     2631    11330   130      4.000  SIT ENRT LG SITIA VOR/DME
12  35.068422222   26.189063889     2631    11330   130      0.000  SIT ENRT LG SITIA VOR/DME
 3  64.626666667   21.079277778      174    11340   130      8.000  SKA ENRT ES SKELLEFTEA VOR/DME
12  64.626666667   21.079277778      174    11340   130      0.000  SKA ENRT ES SKELLEFTEA VOR/DME
 3  68.578352778   15.034925000       34    11280   130      5.000  SKG ENRT EN SKAGEN (STOKMARKNES) VOR/DME
12  68.578352778   15.034925000       34    11280   130      0.000  SKG ENRT EN SKAGEN (STOKMARKNES) VOR/DME
 3  41.935000000   21.630555556      800    11280   130      4.000  SKJ ENRT LW SKOPJE VOR/DME
12  41.935000000   21.630555556      800    11280   130      0.000  SKJ ENRT LW SKOPJE VOR/DME
13  78.149402778   16.658225000     3774    11490    40      0.000  SKO ENRT EN SKOLTEN DME
 3  39.180641667   23.615930556     1158    11340   130      4.000  SKP ENRT LG SKOPELOS VOR/DME
12  39.180641667   23.615930556     1158    11340   130      0.000  SKP ENRT LG SKOPELOS VOR/DME
 3  55.228938889    9.214058333      138    11040   130      1.000  SKR ENRT EK VOJENS/SKRYDSTRUP VORTAC
12  55.228938889    9.214058333      138    11040   130      0.000  SKR ENRT EK VOJENS/SKRYDSTRUP VORTAC DME
 3  38.977377778   24.490119444       76    11660   130      3.000  SKS ENRT LG SKIROS VOR/DME
12  38.977377778   24.490119444       76    11660   130      0.000  SKS ENRT LG SKIROS VOR/DME
13  50.706769444    8.078511111     2010    10805    40      0.000  SLD ENRT ED SIEGERLAND DME
13  54.279388889   -8.600111111       30    10900    40      0.000  SLG ENRT EI SLIGO DME
 3  41.519861111    2.109750000      492    11200   130     -0.000  SLL ENRT LE SABADELL VOR/DME
12  41.520000000    2.109750000      492    11200   130      0.000  SLL ENRT LE SABADELL VOR/DME
 3  65.540222222   22.134250000       58    11510   130      8.000  SLU ENRT ES LULEA VOR/DME
12  65.540222222   22.134250000       58    11510   130      0.000  SLU ENRT ES LULEA VOR/DME
 3  40.890055556    9.501277778       59    11390    40      1.100  SME ENRT LI SMERALDA (OLBIA) VOR/DME
12  40.890166667    9.500555556       59    11390    40      0.000  SME ENRT LI SMERALDA (OLBIA) VOR/DME
 3  45.009472222   19.430777778      282    11700   130      4.000  SMI ENRT LY MITROVICA VOR/DME
12  45.009472222   19.430777778      282    11700   130      0.000  SMI ENRT LY MITROVICA VOR/DME
 3  36.394880556   25.482600000       87    11040   130      2.000  SNI ENRT LG SANTORINI VOR/DME
12  36.394880556   25.482600000       87    11040   130      0.000  SNI ENRT LG SANTORINI VOR/DME
 3  43.449777778   -3.902416667      197    11530   130     -1.000  SNR ENRT LE SANTANDER VOR/DME
12  43.449638889   -3.902500000      197    11530   130      0.000  SNR ENRT LE SANTANDER VOR/DME
 3  33.090416667  -16.350638889      400    11490   130     -5.000  SNT ENRT LP PORTO SANTO VOR/DME
12  33.090277778  -16.350361111      400    11490   130      0.000  SNT ENRT LP PORTO SANTO VOR/DME
 3  47.874875000   16.288436111      891    11550   130      4.000  SNU ENRT LO SOLLENAU VOR/DME
12  47.874875000   16.288436111      891    11550   130      0.000  SNU ENRT LO SOLLENAU VOR/DME
 3  58.875808333    5.635261111       66    11225    40     -0.000  SOA ENRT EN SOLA (STAVANGER) TACAN
12  58.875808333    5.635261111       66    11225    40      0.000  SOA ENRT EN SOLA (STAVANGER) TACAN DME
 3  61.150186111    7.159741667     1652    11420    40      1.000  SOG ENRT EN SOGNDAL VOR/DME
12  61.150186111    7.159741667     1652    11420    40      0.000  SOG ENRT EN SOGNDAL VOR/DME
 3  40.582444444   14.335027778     1647    11220   130      2.000  SOR ENRT LI SORRENTO VOR/DME
12  40.582361111   14.334916667     1647    11220   130      0.000  SOR ENRT LI SORRENTO VOR/DME
 3  49.978986111    6.697680556     1153    10950    25     -0.000  SPA ENRT ED SPANGDAHLEM TACAN
12  49.978986111    6.697680556     1153    10950    25      0.000  SPA ENRT ED SPANGDAHLEM TACAN DME
13  58.366602778    1.907041667      417    11550   130      0.000  SPA ENRT EN SLEIPNER A DME
 3  37.917777778   23.937777778      265    11750   130      2.900  SPA ENRT LG ATHENS VOR/DME
12  37.917777778   23.937777778      265    11750   130      0.000  SPA ENRT LG ATHENS VOR/DME
 3  50.514722222    5.623611111      976    11310   130      1.000  SPI ENRT EB SPRIMONT VOR/DME
12  50.514722222    5.623611111      976    11310   130      0.000  SPI ENRT EB SPRIMONT VOR/DME
 3  52.332144444    4.749883333        1    10840   130     -0.000  SPL ENRT EH SCHIPHOL (AMSTERDAM) VOR/DME
12  52.332144444    4.749883333        1    10840   130      0.000  SPL ENRT EH SCHIPHOL (AMSTERDAM) VOR/DME
 3  43.496580556   16.304722222      734    11570   130      3.000  SPL ENRT LD SPLIT VOR/DME
12  43.496580556   16.304722222      734    11570   130      0.000  SPL ENRT LD SPLIT VOR/DME
13  68.091944444   21.690500000     1310    11590   130      0.000  SPO ENRT ES SOPPERO DME
 3  46.468694444    6.448055556     1252    11390   130      1.000  SPR ENRT LS ST PREX VOR/DME
12  46.468694444    6.448055556     1252    11390   130      0.000  SPR ENRT LS ST PREX VOR/DME
 3  52.540280556    4.853780556        1    11330   130     -0.000  SPY ENRT EH SPIJKERBOOR VOR/DME
12  52.540280556    4.853780556        1    11330   130      0.000  SPY ENRT EH SPIJKERBOOR VOR/DME
 3  38.829055556   -9.340083333      441    11210   130     -3.000  SRA ENRT LP SINTRA VORTAC
12  38.829055556   -9.340083333      441    11210   130      0.000  SRA ENRT LP SINTRA VORTAC DME
 3  45.645972222    9.021583333      787    11370   130      1.000  SRN ENRT LI SARONNO VOR/DME
12  45.645944444    9.021416667      787    11370   130      0.000  SRN ENRT LI SARONNO VOR/DME
 3  39.559694444    2.733250000       49    10840    40      1.000  SSJ ENRT LE SON SAN JUAN/PALMA DE MAL TACAN
12  39.559694444    2.733250000       49    10840    40      0.000  SSJ ENRT LE SON SAN JUAN/PALMA DE MAL TACAN DME
 3  43.311194444   -1.830388889      787    11790   130     -1.000  SSN ENRT LE SAN SEBASTIAN VOR/DME
12  43.311305556   -1.830500000      787    11790   130      0.000  SSN ENRT LE SAN SEBASTIAN VOR/DME
 3  40.546416667   -3.575194444     1969    11785    40     -1.000  SSY ENRT LE S.S.REYES VOR/DME
12  40.546416667   -3.575361111     1969    11785    40      0.000  SSY ENRT LE S.S.REYES VOR/DME
 3  59.787286111    5.344180556      223    11340   130     -0.000  STD ENRT EN STORD VOR/DME
12  59.787286111    5.344180556      223    11340   130      0.000  STD ENRT EN STORD VOR/DME
 3  48.696427778    9.256547222     1207    11685   130      2.000  STG ENRT ED STUTTGART VOR/DME
12  48.696427778    9.256547222     1207    11685   130      0.000  STG ENRT ED STUTTGART VOR/DME
 3  42.926861111   -8.425388889     1280    11640   130     -3.000  STG ENRT LE SANTIAGO VOR/DME
12  42.926694444   -8.425333333     1280    11640   130      0.000  STG ENRT LE SANTIAGO VOR/DME
13  46.845230556   15.931941667     2162    11455   130      0.000  STK ENRT LO STRADNER KOGEL DME
 3  58.206947222   -6.183047222      250    11510   130     -5.000  STN ENRT EG STORNOWAY VOR/DME
12  58.206947222   -6.183047222      250    11510   130      0.000  STN ENRT EG STORNOWAY VOR/DME
 3  65.960425000   12.469447222      137    11200    40      4.000  STO ENRT EN STOKKA (SANDNESSJOEN) VOR/DME
12  65.960425000   12.469447222      137    11200    40      0.000  STO ENRT EN STOKKA (SANDNESSJOEN) VOR/DME
 3  48.417136111   16.018594444      750    11300   130      4.000  STO ENRT LO STOCKERAU VOR/DME
12  48.417086111   16.018758333      750    11300   130      0.000  STO ENRT LO STOCKERAU VOR/DME
 3  33.071666667  -16.361666667      320    11630   130     -9.000  STO ENRT LP PORTO SANTO TACAN
12  33.071666667  -16.361666667      320    11630   130      0.000  STO ENRT LP PORTO SANTO TACAN DME
 3  43.219472222    6.601805556     1089    11650   130      2.000  STP ENRT LF SAINT TROPEZ VOR/DME
12  43.219472222    6.601805556     1089    11650   130      0.000  STP ENRT LF SAINT TROPEZ VOR/DME
 3  48.505388889    7.571972222      577    11560   130      2.000  STR ENRT LF STRASBOURG ENTZHEIM VOR/DME
12  48.505388889    7.571972222      577    11560   130      0.000  STR ENRT LF STRASBOURG ENTZHEIM VOR/DME
 3  51.994688889   -5.040191667      600    11310   130     -3.000  STU ENRT EG STRUMBLE VOR/DME
12  51.994688889   -5.040191667      600    11310   130      0.000  STU ENRT EG STRUMBLE VOR/DME
 3  39.480247222   22.773308333        0    11290   130      4.000  STV ENRT LG STEFANOVIKION VOR
 3  35.523027778   24.174952778      518    10860   130      4.000  SUD ENRT LG CHANIA VOR/DME
12  35.523027778   24.174952778      518    10860   130      0.000  SUD ENRT LG CHANIA VOR/DME
 3  48.381586111    8.644836111        0    11610    40      2.000  SUL ENRT ED SULZ VOR
 3  59.878755556   -1.286533333       84    11735   130     -3.000  SUM ENRT EG SUMBURGH VOR/DME
12  59.878755556   -1.286533333       84    11735   130      0.000  SUM ENRT EG SUMBURGH VOR/DME
 3  64.955444444   17.708305556      959    11630   130      5.000  SUM ENRT ES STORUMAN VOR/DME
12  64.955444444   17.708305556      959    11630   130      0.000  SUM ENRT ES STORUMAN VOR/DME
 3  62.528444444   17.448722222       55    11310   130      5.000  SUN ENRT ES SUNDSVALL VOR/DME
12  62.528444444   17.448722222       55    11310   130      0.000  SUN ENRT ES SUNDSVALL VOR/DME
 3  55.534527778   13.379527778      270    11300   130      4.000  SUP ENRT ES STURUP (MALMO) VOR/DME
12  55.534527778   13.379527778      270    11300   130      0.000  SUP ENRT ES STURUP (MALMO) VOR/DME
 3  58.084497222    7.908311111      411    11210   130      2.000  SVA ENRT EN SVENSHEIA (KRISTIANSAND) VOR/DME
12  58.084497222    7.908311111      411    11210   130      0.000  SVA ENRT EN SVENSHEIA (KRISTIANSAND) VOR/DME
 3  56.168861111   12.573777778       36    11620   130      3.000  SVD ENRT ES SVEDA VOR/DME
12  56.168861111   12.573777778       36    11620   130      0.000  SVD ENRT ES SVEDA VOR/DME
13  62.046444444   14.412055556     1175    11395   130      0.000  SVE ENRT ES SVEG DME
13  61.952680556   28.914061111      343    11790   130      0.000  SVL ENRT EF LINNA (SAVONLINNA) DME
 3  37.427583333   -5.762222222      394    11370   130     -2.000  SVL ENRT LE SEVILLE VOR/DME
12  37.427611111   -5.762388889      394    11370   130      0.000  SVL ENRT LE SEVILLE VOR/DME
 3  52.798008333   -2.662319444      270    11680    40     -2.000  SWB ENRT EG SHAWBURY VOR/DME
12  52.798008333   -2.662319444      270    11680    40      0.000  SWB ENRT EG SHAWBURY VOR/DME
 3  54.463552778    9.516561111      155    11180   130      2.000  SWG ENRT ED SCHLESWIG TACAN
12  54.463552778    9.516561111      155    11180   130      0.000  SWG ENRT ED SCHLESWIG TACAN DME
 3  41.937472222    9.399555556       77    11400   130      2.000  SZA ENRT LF SOLENZARA TACAN
12  41.937472222    9.399555556       77    11400   130      0.000  SZA ENRT LF SOLENZARA TACAN DME
13  49.116469444    9.778155556     1389    10805    25      0.000  SHD EDTY ED SCHWABISCH HALL DME
13  57.760722222   12.842027778     1066    11565    40      0.000  SDH ESGG ES LANDVETTER (GOTEBORG) DME
 2  69.102725000   18.194522222        0      338    25      0.000   SA ENRT EN SORREISA (BARDUFOSS) NDB
 2  43.435055556   -3.849888889        0      416    25      0.000   SA ENRT LE SANTANDER NDB
 2  68.087627778   13.637041667        0      348    15      0.000  SAD ENRT EN SANDSUND (LEKNES) NDB
 2  43.937861111   15.168108333        0      421    25      0.000  SAL ENRT LD SALI NDB
 2  43.610638889    5.101083333        0      334    50      0.000  SAL ENRT LF SALON DE PROVENCE NDB
 2  43.933755556   18.456394444        0      375    50      0.000  SAR ENRT LQ SARAJEVO NDB
 2  65.788500000  -23.990861111        0      310    25      0.000   SB ENRT BI SELARDALUR NDB
 2  54.937836111    9.829744444        0      330    15      0.000   SB ENRT EK SONDERBORG NDB
 2  48.567527778   -2.782444444        0      353    25      0.000   SB ENRT LF SAINT BRIEUC NDB
 2  47.967530556   12.894077778        0      382    50      0.000  SBG ENRT LO SALZBURG NDB
 2  59.882375000   -1.294833333        0      351    25      0.000  SBH ENRT EG SUMBURGH NDB
 2  53.789744444   -1.208497222        0      323    25      0.000  SBL ENRT EG SHERBURN-IN-ELMET NDB
 2  49.218852778    7.118344444        0      343    50      0.000  SBN ENRT ED SAARBRUCKEN NDB
 2  58.432611111   15.552388889        0      300    15      0.000   SC ENRT ES SAAB (LINKOPING) NDB
 2  39.457527778  -31.127888889        0      331    15      0.000   SC ENRT LP FLORES NDB
 2  44.050694444    5.503472222        0      348    50      0.000  SCL ENRT LF SAINT CHRISTOL NDB
 2  57.500769444   10.150702778        0      339    15      0.000   SD ENRT EK SINDAL NDB
 2  63.928888889  -21.034166667        0      397    25      0.000   SE ENRT BI SELFOSS NDB
 2  48.588916667    7.714750000        0      412    15      0.000   SE ENRT LF STRASBOURG NDB
 2  66.967488889  -50.941666667        0      382    75      0.000   SF ENRT BG SONDRE STROMFJORD NDB
 2  58.380583333   12.705388889        0      409    15      0.000   SG ENRT ES SATENAS NDB
 2  39.674194444   -0.207805556        0      356    15      0.000  SGO ENRT LE SAGUNTO (VALENCIA) NDB
 2  52.243411111   -2.879841667        0      426    25      0.000   SH ENRT EG SHOBDON NDB
 2  50.835511111   -0.295386111        0      332    15      0.000  SHM ENRT EG SHOREHAM NDB
 2  60.691027778  -46.597194444        0      279    75      0.000   SI ENRT BG SIMIUTAQ NDB
 2  47.818611111   12.987688889        0      410    25      0.000   SI ENRT LO SALZBURG NDB
 2  37.395805556   14.971527778        0      412    50      0.000  SIG ENRT LI SIGONELLA (CATANIA) NDB
 2  50.680036111    8.138500000        0      489    25      0.000  SIL ENRT ED SIEGERLAND NDB
 2  69.161366667   17.815858333        0      414    50      0.000  SJA ENRT EN SENJA (BARDUFOSS) NDB
 2  52.400227778   13.622472222        0      299    25      0.000   SL ENRT ED SCHONEFELD (BERLIN) NDB
 2  54.278722222   -8.600083333        0      384    50      0.000  SLG ENRT EI SLIGO NDB
 2  54.856897222    8.409983333        0      387    25      0.000  SLT ENRT ED WESTERLAND/SYLT NDB
 2  50.478000000    5.913027778        0      386    15      0.000  SLV ENRT EB SPA NDB
 2  66.951511111  -53.702538889        0      341    15      0.000   SM ENRT BG SISIMIUT NDB
 2  40.893583333    9.502277778        0      357    50      0.000  SME ENRT LI SMERALDA (OLBIA) NDB
 2  37.685491667   26.916605556        0      375    75      0.000  SMO ENRT LG SAMOS NDB
 2  46.294361111    4.121388889        0      430    15      0.000   SN ENRT LF SAINT YAN NDB
 2  51.576008333    0.700144444        0      362    25      0.000  SND ENRT EG SOUTHEND NDB
 2  42.907777778   -8.428444444        0      417    50      0.000  SNO ENRT LE SANTIAGO NDB
 2  61.450663889    2.143327778        0      375    50      0.000  SNR ENRT EN SNORRE NDB
 2  53.215294444    6.785163889        0      330    25      0.000   SO ENRT EH GRONINGEN NDB
 2  42.969111111   -8.439666667        0      390    15      0.000   SO ENRT LE SANTIAGO NDB
 2  40.582611111   14.335500000        0      426    75      0.000  SOR ENRT LI SORRENTO NDB
 2  58.366602778    1.907041667        0      349    50      0.000  SPA ENRT EN SLEIPNER A NDB
 2  37.418055556   -5.795527778        0      420    25      0.000  SPP ENRT LE SEVILLE NDB
 2  45.646805556    9.022861111        0      330    25      0.000  SRN ENRT LI SARONNO NDB
 2  60.460163889   -1.215325000        0      315    15      0.000   SS ENRT EG SCATSTA NDB
 2  58.326666667   13.904666667        0      390    15      0.000   SS ENRT ES SKOVDE NDB
 2  61.206911111    1.830636111        0      615    50      0.000  STB ENRT EN STATFJORD B NDB
 2  51.741325000    4.243486111        0      386    25      0.000  STD ENRT EH STAD NDB
 2  48.210616667   16.247136111        0      293    25      0.000  STE ENRT LO STEINHOF NDB
 2  39.480555556   22.769444444        0      420    15      0.000  STF ENRT LG STEFANOVIKION NDB
 2  61.860861111    6.367619444        0      369    15      0.000  STG ENRT EN STEGEN NDB
 2  49.914094444   -6.291108333        0      321    25      0.000  STM ENRT EG SCILLY ISLES NDB
 2  66.290236111   13.768830556        0      345    50      0.000  STM ENRT EN STROMMEN NDB
 2  38.880916667   -9.402083333        0      371    50      0.000  STR ENRT LP SINTRA NDB
 2  66.927033333   13.438597222        0      317    50      0.000  STT ENRT EN STOTT (BODO) NDB
 2  45.745388889    7.715500000        0      418    25      0.000  SVC ENRT LI COMAGNE (AOSTA) NDB
 2  41.933333333    9.394000000        0      349    15      0.000  SZA ENRT LF SOLENZARA NDB
 2  51.414897222   12.271277778        0      357    15      0.000  SKZ EDDP ED SCHKEUDITZ (LEIPZIG-HALLE) NDB
 2  49.217769444    7.219511111        0      360    25      0.000   SR EDDR ED ENSHEIM (SAARBRUCKEN) NDB
 2  61.674211111   27.266150000        0      374    15      0.000    S EFMI EF SIERRA (MIKKELI) NDB
 2  58.215480556   -6.329077778        0      431    25      0.000  SAY EGPO EG STORNOWAY NDB
 2  69.048388889   18.600136111        0      371    15      0.000   SM ENDU EN FOSSMO NDB
 2  57.594916667   12.220333333        0      342    15      0.000   SL ESGG ES LANDVETTER (GOTEBORG) NDB
 2  60.885916667   14.562055556        0      377    15      0.000   SM ESKM ES SILJAN (MORA) NDB
 2  59.377055556   13.273722222        0      330    15      0.000  SKS ESOK ES KARLSTAD NDB
 2  65.710888889   15.201722222        0      342    15      0.000  SUT ESUT ES HEMAVAN NDB
 2  45.805822222   16.164661111        0      350    15      0.000   SK LDZA LD S.KRALJEVEC (ZAGREB) NDB
 2  42.446638889    2.012416667        0      418    25      0.000  SAL LFYS LF SAINTE LEOCADIE NDB
 2  35.522738889   24.158605556        0      409    15      0.000  SUD LGSA LG CHANIA NDB
 2  39.174191667   23.500880556        0      326    15      0.000  SKC LGSK LG SKIATHOS NDB
 2  37.423536111   24.948172222        0      417    15      0.000  SYR LGSO LG SYROS NDB
 2  43.882777778   19.770750000        0      420    15      0.000   SR LYUZ LY PONIKVE (UZICE) NDB
 3  19.407316667  -70.603805556      580    11490    25    -11.000  SGO ENRT MD SANTIAGO VOR/DME
12  19.407316667  -70.603805556      580    11490    25      0.000  SGO ENRT MD SANTIAGO VOR/DME
 3  18.501047222  -77.924100000       33    11570    40     -6.000  SIA ENRT MK SANGSTER VOR/DME
12  18.501047222  -77.924100000       33    11570    40      0.000  SIA ENRT MK SANGSTER VOR/DME
 3  18.503386111  -69.765863889      135    11240    40    -11.000  SIS ENRT MD SAN ISIDRO VOR/DME
12  18.503386111  -69.765863889      135    11240    40      0.000  SIS ENRT MD SAN ISIDRO VOR/DME
 3  23.146161111 -109.721538889      341    11400    40     10.000  SJD ENRT MM CABOS (SAN JOSE DEL CABO) VOR/DME
12  23.146161111 -109.721538889      341    11400    40      0.000  SJD ENRT MM CABOS (SAN JOSE DEL CABO) VOR/DME
 3  13.933888889  -90.831944444       21    11410    40      4.000  SJO ENRT MG SAN JOSE (PUERTO SAN JOSE VOR/DME
12  13.933888889  -90.831944444       21    11410    40      0.000  SJO ENRT MG SAN JOSE (PUERTO SAN JOSE VOR/DME
 3  18.446283333  -65.989505556        3    11400   130    -11.000  SJU ENRT TJ SAN JUAN VORTAC
12  18.446283333  -65.989505556        3    11400   130      0.000  SJU ENRT TJ SAN JUAN VORTAC DME
13  17.306463889  -62.727844444        1    11200    40      0.000  SKB ENRT TK ROBERT L BRADSHAW (ST KIT DME
 3  19.742775000  -99.029805556     7365    11660    40      6.000  SLM ENRT MM SANTA LUCIA VOR/DME
12  19.742775000  -99.029805556     7365    11660    40      0.000  SLM ENRT MM SANTA LUCIA VOR/DME
 3  22.256388889 -100.930425000     6041    11720    40      7.000  SLP ENRT MM POTOSI (SAN LUIS POTOSI) VOR/DME
12  22.256388889 -100.930425000     6041    11720    40      0.000  SLP ENRT MM POTOSI (SAN LUIS POTOSI) VOR/DME
 3  25.546113889 -100.929811111     4633    11610    40      7.000  SLW ENRT MM SALTILLO VOR/DME
12  25.546113889 -100.929811111     4633    11610    40      0.000  SLW ENRT MM SALTILLO VOR/DME
 3  19.555555556  -99.228333333     8019    11210    40      6.000  SMO ENRT MM SAN MATEO VOR/DME
12  19.555555556  -99.228333333     8019    11210    40      0.000  SMO ENRT MM SAN MATEO VOR/DME
 3  12.582500000  -81.705277778      182    11330   130     -3.000  SPP ENRT SK SAN ANDRES VOR/DME
12  12.582500000  -81.705277778      182    11330   130      0.000  SPP ENRT SK SAN ANDRES VOR/DME
 3  30.545358333 -115.955652778       74    11330    40     13.000  SQN ENRT MM QUINTIN (SAN QUINTIN) VOR/DME
12  30.545358333 -115.955652778       74    11330    40      0.000  SQN ENRT MM QUINTIN (SAN QUINTIN) VOR/DME
 3   8.089022222  -80.939722222      272    11450   130     -2.000  STG ENRT MP SANTIAGO VOR/DME
12   8.089022222  -80.939722222      272    11450   130      0.000  STG ENRT MP SANTIAGO VOR/DME
 3  18.355816667  -65.024555556      679    10860    40    -10.000  STT ENRT TI SAINT THOMAS VOR/DME
12  18.355816667  -65.024555556      679    10860    40      0.000  STT ENRT TI SAINT THOMAS VOR/DME
13  13.140633333  -61.226166667      197    10840    40      0.000   SV ENRT TV E.T. JOSHUA (SAINT VINCEN DME
 2  21.512500000  -71.537500000        0      260    50      0.000   SC ENRT MB SOUTH CAICOS NDB
 2  13.933680556  -90.861422222        0      425    50      0.000  SGA ENRT MG SAN JOSE NDB
 2  17.295183333  -62.744005556        0      325    50      0.000  SKB ENRT TK ROBERT L BRADSHAW (ST KITTS) NDB
 2  14.014141667  -61.006058333        0      415    50      0.000  SLU ENRT TL GEORGE CHARLES (ST. LUCIA) NDB
 2  27.328333333 -112.270277778        0      270    50      0.000  SRL ENRT MM ROSALIA NDB
 2  13.140633333  -61.226166667        0      403    50      0.000   SV ENRT TV E.T. JOSHUA (SAINT VINCENT I) NDB
 2  17.691922222  -64.884650000        0      241    25      0.000   ST TISX TI PESTE (ST CROIX I) NDB
 2  18.408908333  -66.089555556        0      330    25      0.000   SJ TJSJ TJ PATTY (SAN JUAN) NDB
 3  15.499888889   44.219611111     7190    11610    40      2.000  SAA ENRT OY SANAA VOR/DME
12  15.499888889   44.219611111     7190    11610    40      0.000  SAA ENRT OY SANAA VOR/DME
 3  28.819722222   76.819444444        1    11700    40      0.700  SAM ENRT VI SAMPLA VOR/DME
12  28.819722222   76.819444444        1    11700    40      0.000  SAM ENRT VI SAMPLA VOR/DME
13  35.018555556   50.371361111     3500    11520   130      0.000  SAV ENRT OI SAVEH DME
 3  40.899666667   29.320388889      312    10880   130      4.000  SBH ENRT LT SABIHA (ISTANBUL) VOR/DME
12  40.899666667   29.320388889      312    10880   130      0.000  SBH ENRT LT SABIHA (ISTANBUL) VOR/DME
 3  22.712472222   53.279472222      400    11510    40      1.000  SBT ENRT OE SHABITAH VOR/DME
12  22.712472222   53.279472222      400    11510    40      0.000  SBT ENRT OE SHABITAH VOR/DME
 3  36.169833333   57.570972222     2980    11700    40      3.500  SBZ ENRT OI SABZEVAR VOR/DME
12  36.169833333   57.570972222     2980    11700    40      0.000  SBZ ENRT OI SABZEVAR VOR/DME
 3  25.754527778   88.909900000        0    11580   130     -1.000  SDP ENRT VG SAIDPUR VOR
 3  17.470250000   47.133944444     2400    11430   130      1.000  SHA ENRT OE SHARURAH VORTAC
12  17.470250000   47.133944444     2400    11430   130      0.000  SHA ENRT OE SHARURAH VORTAC DME
13  37.346027778   46.142750000     4382    11600    40      0.000  SHD ENRT OI SAHAND (MARAGHEH) DME
13  36.434750000   55.138500000     4197    11510    40      0.000  SHR ENRT OI SHAHROUD DME
 3  25.921833333   50.590505556      136    11760    40      2.000  SIA ENRT OB ISA AB (BAHRAIN) VORTAC
12  25.921833333   50.590505556      136    11760    40      0.000  SIA ENRT OB ISA AB (BAHRAIN) VORTAC DME
 3  42.022305556   35.076805556       30    11400   130      5.000  SIN ENRT LT SINOP VOR/DME
12  42.022305556   35.076805556       30    11400   130      0.000  SIN ENRT LT SINOP VOR/DME
13  37.976722222   41.836722222     1969    11220    40      0.000  SIR ENRT LT SIIRT DME
 3  25.914583333   54.535083333       23    11375   130      2.000  SIR ENRT OI SIRRI ISLAND VOR/DME
12  25.914583333   54.535083333       23    11375   130      0.000  SIR ENRT OI SIRRI ISLAND VOR/DME
 3  39.789694444   36.893388889     5282    11420   130      5.000  SIV ENRT LT SIVAS VOR/DME
12  39.789694444   36.893388889     5282    11420   130      0.000  SIV ENRT LT SIVAS VOR/DME
 3  27.848333333   77.008333333      850    11720    40      0.500  SKA ENRT VI SAKRAS VOR/DME
12  27.848333333   77.008333333      850    11720    40      0.000  SKA ENRT VI SAKRAS VOR/DME
 3  32.279833333   50.854916667     6698    11730    25      4.000  SKD ENRT OI SHAHRE KORD VOR/DME
12  32.279833333   50.854916667     6698    11730    25      0.000  SKD ENRT OI SHAHRE KORD VOR/DME
 3  31.085988889   77.063486111     5107    11410   130      1.000  SLA ENRT VI SHIMLA VOR/DME
12  31.085988889   77.063486111     5107    11410   130      0.000  SLA ENRT VI SHIMLA VOR/DME
 3  17.049822222   54.115825000       89    11280   130      1.000  SLL ENRT OO SALALAH VOR/DME
12  17.049855556   54.115938889       89    11280   130      0.000  SLL ENRT OO SALALAH VOR/DME
 3  32.518594444   74.343397222      793    11380   130      1.000  SLT ENRT OP SIALKOT VOR/DME
12  32.518594444   74.343397222      793    11380   130      0.000  SLT ENRT OP SIALKOT VOR/DME
13  35.598444444   53.497305556     3775    11725    40      0.000  SMN ENRT OI SEMNAN DME
 3  27.164166667   84.982222222      445    11290   130     -0.000  SMR ENRT VN SIMARA VOR/DME
12  27.164166667   84.982222222      445    11290   130      0.000  SMR ENRT VN SIMARA VOR/DME
 3  34.001944444   74.754722222     5487    11590    40      2.000  SNG ENRT VI SRINAGAR VOR/DME
